VMs,CPU,Mem,Netz
VM 1,2,2887,434
VM 2,3,2063,498
VM 3,1,694,106
VM 4,1,4437,10
VM 5,1,4635,449
VM 6,1,2620,295
VM 7,4,3432,480
VM 8,2,2278,29
VM 9,1,1455,284
VM 10,1,3590,180
VM 11,3,2702,179
VM 12,1,1714,57
VM 13,1,4551,79
VM 14,4,3591,329
VM 15,1,877,317
VM 16,4,1574,149
VM 17,1,1790,10
VM 18,3,4528,10
VM 19,4,1543,427
VM 20,3,1973,458
VM 21,4,4475,248
VM 22,4,1207,367
VM 23,4,2455,232
VM 24,4,986,165
VM 25,1,3363,379
VM 26,2,4007,131
VM 27,2,2360,255
VM 28,1,2565,126
VM 29,3,3062,400
VM 30,1,4235,267
VM 31,1,243,10
VM 32,4,4174,140
VM 33,4,1196,313
VM 34,4,752,140
VM 35,4,2785,449
VM 36,4,2186,488
VM 37,1,2134,157
VM 38,2,2776,231
VM 39,1,1589,171
VM 40,1,2414,377
VM 41,2,4558,288
VM 42,1,2443,122
VM 43,1,1175,123
VM 44,1,2356,357
VM 45,1,2692,432
VM 46,1,1673,217
VM 47,3,1708,464
VM 48,4,802,476
VM 49,1,2714,253
VM 50,3,1270,46
VM 51,1,2009,476
VM 52,1,4314,129
VM 53,1,3601,400
VM 54,1,837,467
VM 55,2,3605,140
VM 56,2,3850,439
VM 57,1,525,215
VM 58,1,1156,178
VM 59,2,320,360
VM 60,3,3359,413
VM 61,1,3870,449
VM 62,1,1031,150
VM 63,2,291,441
VM 64,4,622,265
VM 65,1,2950,10
VM 66,1,3323,377
VM 67,4,3259,255
VM 68,3,3866,350
VM 69,3,694,398
VM 70,1,4968,301
VM 71,2,528,141
VM 72,2,779,88
VM 73,2,3729,272
VM 74,4,3177,237
VM 75,4,3145,389
VM 76,1,4531,488
VM 77,1,1670,352
VM 78,3,4771,317
VM 79,1,589,203
VM 80,4,4192,43
VM 81,3,4803,464
VM 82,2,2687,168
VM 83,2,2608,357
VM 84,4,4568,225
VM 85,1,867,208
VM 86,4,3143,423
VM 87,1,751,230
VM 88,1,2990,180
VM 89,2,4258,29
VM 90,1,3726,125
VM 91,2,3688,225
VM 92,4,2890,418
VM 93,4,4650,463
VM 94,1,1794,131
VM 95,3,1517,499
VM 96,4,1190,346
VM 97,1,1833,379
VM 98,1,4053,344
VM 99,1,3978,224
VM 100,4,3538,438
VM 101,4,4449,81
VM 102,1,1979,358
VM 103,3,782,498
VM 104,3,3292,111
VM 105,2,2290,138
VM 106,1,3916,28
VM 107,1,4188,266
VM 108,2,1853,11
VM 109,3,4871,304
VM 110,3,3195,466
VM 111,3,4434,10
VM 112,1,4483,420
VM 113,2,3193,395
VM 114,4,2432,99
VM 115,1,2718,138
VM 116,3,2175,374
VM 117,1,1831,424
VM 118,2,2382,145
VM 119,4,4119,416
VM 120,1,1320,267
VM 121,1,4870,281
VM 122,2,4242,211
VM 123,4,4103,368
VM 124,2,4057,340
VM 125,4,1621,157
VM 126,1,2185,151
VM 127,1,2144,17
VM 128,2,3051,350
VM 129,1,1629,331
VM 130,1,3099,387
VM 131,3,4439,348
VM 132,1,278,49
VM 133,1,3085,379
VM 134,3,3114,72
VM 135,4,4758,281
VM 136,2,4942,248
VM 137,1,4500,191
VM 138,3,358,226
VM 139,4,3132,470
VM 140,4,1150,248
VM 141,2,1316,117
VM 142,1,670,386
VM 143,2,1281,68
VM 144,4,1253,319
VM 145,1,2047,389
VM 146,1,2572,289
VM 147,3,1595,117
VM 148,1,886,128
VM 149,4,2538,301
VM 150,1,4761,221
VM 151,1,2824,14
VM 152,2,1760,120
VM 153,1,2057,487
VM 154,1,3628,369
VM 155,3,734,498
VM 156,1,3050,314
VM 157,1,1105,421
VM 158,2,4989,348
VM 159,1,565,345
VM 160,1,1938,286
VM 161,3,3139,61
VM 162,2,3129,493
VM 163,1,327,435
VM 164,3,3334,279
VM 165,4,773,359
VM 166,4,1618,61
VM 167,3,4830,64
VM 168,2,3216,439
VM 169,1,1517,95
VM 170,1,3979,125
VM 171,2,4667,324
VM 172,1,4185,35
VM 173,1,3660,268
VM 174,2,3317,220
VM 175,4,2441,36
VM 176,1,916,298
VM 177,3,4588,486
VM 178,1,3353,149
VM 179,1,100,149
VM 180,2,2043,117
VM 181,2,1583,31
VM 182,1,3980,360
VM 183,2,1075,162
VM 184,1,3788,305
VM 185,4,4000,479
VM 186,4,2522,366
VM 187,4,1010,10
VM 188,3,4195,468
VM 189,2,657,418
VM 190,4,2221,408
VM 191,1,604,416
VM 192,4,259,215
VM 193,2,2330,10
VM 194,4,2216,337
VM 195,1,3316,255
VM 196,2,3521,485
VM 197,4,1360,228
VM 198,3,3344,142
VM 199,1,2659,182
VM 200,3,2788,185
VM 201,1,3628,451
VM 202,2,1475,35
VM 203,3,3210,61
VM 204,4,618,88
VM 205,2,2451,284
VM 206,1,4883,189
VM 207,4,886,421
VM 208,2,2968,79
VM 209,2,4385,150
VM 210,4,4204,412
VM 211,4,3385,112
VM 212,1,4098,323
VM 213,4,3428,307
VM 214,4,3022,457
VM 215,1,634,353
VM 216,1,1256,268
VM 217,2,2708,299
VM 218,1,3855,78
VM 219,4,2613,68
VM 220,1,1039,106
VM 221,1,1441,298
VM 222,3,3478,36
VM 223,3,3042,439
VM 224,1,1471,385
VM 225,1,4755,367
VM 226,3,2965,458
VM 227,1,2112,315
VM 228,1,874,374
VM 229,2,4815,212
VM 230,2,1666,210
VM 231,3,4781,79
VM 232,4,1449,88
VM 233,4,3716,495
VM 234,2,468,368
VM 235,2,3016,254
VM 236,3,2218,10
VM 237,1,1627,276
VM 238,4,3218,381
VM 239,2,897,88
VM 240,3,2482,10
VM 241,2,2886,134
VM 242,1,1005,122
VM 243,1,540,491
VM 244,1,3395,482
VM 245,3,2969,10
VM 246,2,2196,285
VM 247,1,4518,103
VM 248,1,1438,183
VM 249,4,617,213
VM 250,1,1673,377
VM 251,2,1711,416
VM 252,3,3688,16
VM 253,1,1858,45
VM 254,2,548,53
VM 255,3,3383,220
VM 256,1,698,496
VM 257,3,1203,318
VM 258,3,2906,59
VM 259,1,4762,256
VM 260,3,3552,221
VM 261,3,4914,49
VM 262,1,3650,243
VM 263,3,4435,288
VM 264,2,2288,17
VM 265,2,1982,432
VM 266,1,1445,339
VM 267,2,4540,367
VM 268,2,3327,366
VM 269,3,271,90
VM 270,1,3008,156
VM 271,4,3954,397
VM 272,1,3851,98
VM 273,3,3202,460
VM 274,1,4593,249
VM 275,2,4545,90
VM 276,3,1196,115
VM 277,2,1348,17
VM 278,1,3430,309
VM 279,2,1959,237
VM 280,3,346,439
VM 281,1,3437,351
VM 282,4,1208,156
VM 283,2,2449,175
VM 284,3,2401,405
VM 285,4,2425,442
VM 286,3,3258,118
VM 287,1,871,108
VM 288,4,1602,82
VM 289,1,4615,265
VM 290,3,1124,434
VM 291,3,2195,377
VM 292,4,2987,202
VM 293,4,3181,119
VM 294,3,2471,429
VM 295,1,4647,29
VM 296,1,2125,406
VM 297,1,1919,383
VM 298,1,964,303
VM 299,1,2049,442
VM 300,4,2579,16
VM 301,1,617,95
VM 302,1,4752,183
VM 303,2,882,454
VM 304,1,786,284
VM 305,3,140,31
VM 306,3,525,423
VM 307,1,4185,363
VM 308,3,1954,173
VM 309,1,3019,149
VM 310,1,812,126
VM 311,3,4608,301
VM 312,3,4282,241
VM 313,2,4249,470
VM 314,2,204,470
VM 315,1,2682,372
VM 316,1,2424,454
VM 317,4,1903,166
VM 318,2,1584,76
VM 319,1,3761,64
VM 320,3,4503,25
VM 321,1,3238,286
VM 322,2,1150,16
VM 323,3,3030,279
VM 324,4,285,364
VM 325,1,4082,193
VM 326,1,1078,419
VM 327,1,2556,437
VM 328,2,1197,163
VM 329,1,2530,466
VM 330,1,1099,206
VM 331,2,2487,392
VM 332,1,854,402
VM 333,3,2298,82
VM 334,3,4989,102
VM 335,1,245,495
VM 336,3,2559,188
VM 337,1,1492,361
VM 338,1,100,299
VM 339,3,1922,379
VM 340,1,2841,320
VM 341,2,4068,221
VM 342,1,2379,37
VM 343,2,3989,106
VM 344,3,2648,341
VM 345,1,3849,349
VM 346,2,1488,304
VM 347,2,969,46
VM 348,2,100,10
VM 349,2,4674,10
VM 350,1,4003,430
VM 351,1,835,354
VM 352,3,750,189
VM 353,2,100,172
VM 354,1,100,54
VM 355,2,4617,144
VM 356,3,3881,213
VM 357,1,1460,305
VM 358,3,2110,206
VM 359,1,100,412
VM 360,1,4086,222
VM 361,1,1804,499
VM 362,3,138,174
VM 363,3,582,442
VM 364,3,504,82
VM 365,1,2851,298
VM 366,1,2786,303
VM 367,1,2986,398
VM 368,2,1499,102
VM 369,4,563,437
VM 370,1,2556,44
VM 371,1,3073,406
VM 372,2,4526,332
VM 373,3,1771,233
VM 374,2,3166,230
VM 375,1,211,386
VM 376,1,2003,392
VM 377,3,2347,301
VM 378,1,1797,471
VM 379,4,4803,490
VM 380,1,109,358
VM 381,2,4370,208
VM 382,3,2100,436
VM 383,1,4171,370
VM 384,1,3338,184
VM 385,4,3359,101
VM 386,3,4021,411
VM 387,4,346,129
VM 388,1,3434,426
VM 389,1,1231,251
VM 390,3,4067,131
VM 391,4,345,95
VM 392,1,1905,202
VM 393,1,1435,324
VM 394,3,4532,210
VM 395,1,215,174
VM 396,3,805,344
VM 397,1,4471,102
VM 398,1,2457,340
VM 399,1,3325,307
VM 400,1,1737,51
VM 401,3,4959,202
VM 402,3,3710,450
VM 403,1,1236,120
VM 404,2,3200,122
VM 405,2,416,187
VM 406,3,4492,101
VM 407,4,1917,90
VM 408,3,1373,430
VM 409,3,2013,312
VM 410,1,1847,127
VM 411,3,101,121
VM 412,1,4257,227
VM 413,1,3750,437
VM 414,1,1416,330
VM 415,3,3167,78
VM 416,1,3783,250
VM 417,1,3827,434
VM 418,2,4613,493
VM 419,1,3191,389
VM 420,3,4984,193
VM 421,3,320,218
VM 422,4,3724,10
VM 423,3,1565,471
VM 424,2,730,206
VM 425,3,2794,262
VM 426,1,2093,34
VM 427,1,2027,210
VM 428,1,4681,453
VM 429,2,2014,245
VM 430,1,2550,464
VM 431,1,901,399
VM 432,2,4202,492
VM 433,3,1620,164
VM 434,4,591,173
VM 435,1,4960,442
VM 436,1,3853,399
VM 437,2,3365,15
VM 438,4,4504,194
VM 439,3,2496,295
VM 440,3,3803,478
VM 441,4,1375,309
VM 442,2,2657,418
VM 443,2,1944,470
VM 444,1,1114,276
VM 445,1,827,380
VM 446,2,3562,168
VM 447,1,4800,82
VM 448,4,237,270
VM 449,1,2515,134
VM 450,2,2028,297
VM 451,2,509,227
VM 452,1,2352,181
VM 453,4,1855,29
VM 454,1,4798,370
VM 455,3,575,93
VM 456,3,1280,235
VM 457,2,4151,194
VM 458,4,1442,36
VM 459,4,2283,18
VM 460,4,1659,20
VM 461,3,2246,274
VM 462,2,1073,285
VM 463,1,4162,257
VM 464,1,2864,142
VM 465,4,3105,128
VM 466,1,2512,94
VM 467,1,675,10
VM 468,2,4797,434
VM 469,1,1371,150
VM 470,3,4969,266
VM 471,4,2535,241
VM 472,3,4170,274
VM 473,4,562,49
VM 474,4,3125,248
VM 475,1,1561,297
VM 476,2,2201,308
VM 477,4,1248,455
VM 478,2,4565,308
VM 479,1,151,324
VM 480,1,1862,405
VM 481,3,352,315
VM 482,4,4049,84
VM 483,3,100,364
VM 484,4,4789,121
VM 485,2,1605,19
VM 486,1,2866,372
VM 487,1,3813,432
VM 488,4,4853,229
VM 489,1,4146,256
VM 490,4,2708,356
VM 491,1,2986,338
VM 492,2,2091,497
VM 493,1,4351,67
VM 494,3,1977,51
VM 495,3,100,384
VM 496,3,2231,422
VM 497,3,124,59
VM 498,3,3319,308
VM 499,3,1865,211
VM 500,3,3449,472
VM 501,1,2141,206
VM 502,3,4317,477
VM 503,1,3526,10
VM 504,4,3238,131
VM 505,3,2907,131
VM 506,1,3847,172
VM 507,1,4568,334
VM 508,1,4313,80
VM 509,2,1923,161
VM 510,3,4477,495
VM 511,3,2175,399
VM 512,2,4449,353
VM 513,2,3779,411
VM 514,1,1464,185
VM 515,4,2476,341
VM 516,4,881,26
VM 517,1,670,37
VM 518,1,1533,265
VM 519,3,4065,357
VM 520,4,508,240
VM 521,4,1511,174
VM 522,2,4475,93
VM 523,2,3236,236
VM 524,3,2612,301
VM 525,3,1683,485
VM 526,1,2879,66
VM 527,3,4712,331
VM 528,4,1092,31
VM 529,2,327,61
VM 530,4,4905,235
VM 531,1,4489,492
VM 532,2,3352,254
VM 533,2,1154,295
VM 534,1,1929,210
VM 535,1,2824,265
VM 536,4,2969,410
VM 537,1,2786,144
VM 538,1,2196,415
VM 539,4,454,153
VM 540,1,3105,230
VM 541,3,897,42
VM 542,2,3230,95
VM 543,4,4712,10
VM 544,1,2287,241
VM 545,2,1658,476
VM 546,1,4707,421
VM 547,4,4467,38
VM 548,4,3698,28
VM 549,1,4423,65
VM 550,1,4845,43
VM 551,2,3555,233
VM 552,2,3495,219
VM 553,3,1045,211
VM 554,1,1982,137
VM 555,3,1845,286
VM 556,1,2856,55
VM 557,1,4764,153
VM 558,1,4049,216
VM 559,2,1003,459
VM 560,1,2518,149
VM 561,3,3331,491
VM 562,1,1966,360
VM 563,1,3664,99
VM 564,4,2452,169
VM 565,1,3725,459
VM 566,2,3685,10
VM 567,1,4852,254
VM 568,1,3073,132
VM 569,2,4721,423
VM 570,3,3639,19
VM 571,1,3318,156
VM 572,1,2932,334
VM 573,4,3486,282
VM 574,1,2737,435
VM 575,2,2765,10
VM 576,1,1283,131
VM 577,1,3434,101
VM 578,4,1741,156
VM 579,2,3964,324
VM 580,1,2194,342
VM 581,4,2702,474
VM 582,3,961,190
VM 583,3,3269,147
VM 584,2,4941,437
VM 585,3,828,249
VM 586,4,1569,124
VM 587,1,1198,373
VM 588,3,3421,461
VM 589,1,543,369
VM 590,1,3634,137
VM 591,2,1521,315
VM 592,1,100,255
VM 593,2,2010,189
VM 594,4,3015,96
VM 595,4,1581,82
VM 596,1,2626,30
VM 597,1,3323,238
VM 598,4,3751,140
VM 599,2,3556,260
VM 600,1,3826,204
VM 601,3,3723,445
VM 602,3,4314,109
VM 603,2,3860,193
VM 604,1,2936,95
VM 605,1,4648,423
VM 606,1,248,275
VM 607,4,4009,146
VM 608,1,3335,159
VM 609,1,3545,463
VM 610,3,2194,472
VM 611,1,1000,329
VM 612,1,3863,356
VM 613,4,1247,393
VM 614,2,2066,60
VM 615,2,3538,262
VM 616,4,2780,24
VM 617,4,700,490
VM 618,1,1379,15
VM 619,2,2367,121
VM 620,4,100,298
VM 621,2,2898,130
VM 622,1,4139,491
VM 623,1,3428,147
VM 624,1,437,83
VM 625,4,100,336
VM 626,1,2640,269
VM 627,2,1686,377
VM 628,3,458,481
VM 629,3,1132,353
VM 630,1,2625,294
VM 631,1,1111,308
VM 632,4,117,272
VM 633,1,1890,343
VM 634,4,4852,289
VM 635,2,2613,300
VM 636,3,4388,144
VM 637,1,2616,210
VM 638,3,2959,411
VM 639,3,1568,329
VM 640,3,1949,296
VM 641,1,2076,498
VM 642,4,2743,469
VM 643,3,100,344
VM 644,4,3636,348
VM 645,1,4390,211
VM 646,1,542,378
VM 647,1,871,289
VM 648,1,3938,141
VM 649,1,1981,281
VM 650,1,3300,310
VM 651,1,1470,447
VM 652,1,4246,36
VM 653,1,4384,294
VM 654,4,159,383
VM 655,1,4313,30
VM 656,1,1912,186
VM 657,4,621,444
VM 658,4,100,233
VM 659,2,4103,10
VM 660,2,4264,15
VM 661,2,1870,18
VM 662,1,1425,393
VM 663,1,2878,448
VM 664,1,1764,208
VM 665,1,1254,45
VM 666,4,452,158
VM 667,1,4435,73
VM 668,2,4275,481
VM 669,3,3771,55
VM 670,1,3857,390
VM 671,2,3029,109
VM 672,3,4110,232
VM 673,3,1672,193
VM 674,1,3754,189
VM 675,3,3531,341
VM 676,2,4034,320
VM 677,1,4000,203
VM 678,4,1380,374
VM 679,2,1035,92
VM 680,4,2762,269
VM 681,3,3439,72
VM 682,3,1170,371
VM 683,2,2287,245
VM 684,4,4690,88
VM 685,2,4243,352
VM 686,1,2355,393
VM 687,1,4328,124
VM 688,3,4650,144
VM 689,1,1634,457
VM 690,1,3675,106
VM 691,1,2306,434
VM 692,4,2371,136
VM 693,2,853,379
VM 694,1,2433,32
VM 695,2,3611,163
VM 696,2,100,208
VM 697,3,2878,39
VM 698,1,2201,457
VM 699,4,4243,151
VM 700,1,138,25
VM 701,1,3775,134
VM 702,1,3833,362
VM 703,4,710,230
VM 704,2,3403,390
VM 705,1,698,10
VM 706,3,2163,170
VM 707,1,1710,122
VM 708,4,1569,467
VM 709,4,4669,277
VM 710,1,852,28
VM 711,2,3384,409
VM 712,2,708,128
VM 713,1,3515,488
VM 714,1,220,386
VM 715,1,119,184
VM 716,1,498,180
VM 717,1,2650,345
VM 718,4,2686,234
VM 719,2,4587,60
VM 720,2,1783,382
VM 721,1,1801,492
VM 722,2,2492,138
VM 723,2,1050,496
VM 724,1,2641,128
VM 725,2,2310,73
VM 726,2,888,50
VM 727,1,4912,411
VM 728,3,621,25
VM 729,3,2199,265
VM 730,2,4651,339
VM 731,1,4001,339
VM 732,1,1162,302
VM 733,1,4946,104
VM 734,3,100,51
VM 735,1,3182,334
VM 736,2,4382,60
VM 737,1,2645,432
VM 738,4,615,115
VM 739,4,3641,95
VM 740,2,4398,264
VM 741,4,156,347
VM 742,4,1422,456
VM 743,2,1442,210
VM 744,1,2270,218
VM 745,1,3796,37
VM 746,1,2778,444
VM 747,2,1904,138
VM 748,3,288,341
VM 749,1,1222,383
VM 750,2,885,38
VM 751,3,1809,446
VM 752,1,1943,122
VM 753,2,3287,193
VM 754,1,2974,190
VM 755,1,538,12
VM 756,3,3248,460
VM 757,4,3950,420
VM 758,3,3025,216
VM 759,1,3935,291
VM 760,1,2362,324
VM 761,4,631,129
VM 762,1,4639,258
VM 763,1,958,349
VM 764,2,517,254
VM 765,3,4886,447
VM 766,3,464,352
VM 767,4,3035,277
VM 768,4,3191,162
VM 769,1,1793,135
VM 770,1,2850,199
VM 771,2,4524,166
VM 772,3,1220,181
VM 773,1,1074,338
VM 774,3,2921,412
VM 775,1,4734,168
VM 776,3,2160,489
VM 777,1,3733,434
VM 778,2,208,245
VM 779,4,2576,246
VM 780,1,2676,30
VM 781,3,4766,309
VM 782,4,2194,268
VM 783,1,4210,495
VM 784,2,3004,454
VM 785,4,462,216
VM 786,3,2752,355
VM 787,1,1853,485
VM 788,1,4705,312
VM 789,3,2776,230
VM 790,1,371,47
VM 791,2,3347,326
VM 792,4,2889,161
VM 793,1,3406,143
VM 794,3,1360,494
VM 795,1,2138,163
VM 796,1,3942,168
VM 797,2,1361,437
VM 798,4,4845,50
VM 799,1,895,73
VM 800,3,4435,133
VM 801,3,114,285
VM 802,1,335,492
VM 803,2,4243,267
VM 804,4,1428,23
VM 805,3,3832,306
VM 806,3,4957,410
VM 807,4,1868,261
VM 808,4,3747,130
VM 809,1,1613,53
VM 810,3,1120,434
VM 811,2,2678,85
VM 812,1,2986,378
VM 813,1,4288,477
VM 814,4,1339,248
VM 815,4,3647,290
VM 816,1,2079,36
VM 817,3,4944,339
VM 818,1,352,191
VM 819,1,3628,439
VM 820,1,3138,229
VM 821,1,2151,242
VM 822,1,284,248
VM 823,2,2528,379
VM 824,2,100,91
VM 825,3,3675,190
VM 826,4,2696,294
VM 827,3,100,29
VM 828,1,4587,236
VM 829,4,3424,234
VM 830,2,1716,175
VM 831,1,699,465
VM 832,2,4295,434
VM 833,2,440,457
VM 834,3,153,10
VM 835,3,2161,10
VM 836,4,1516,391
VM 837,4,826,190
VM 838,1,585,488
VM 839,2,4864,497
VM 840,1,3737,491
VM 841,1,1786,10
VM 842,1,807,52
VM 843,4,2225,474
VM 844,4,1217,60
VM 845,3,1236,159
VM 846,3,2761,326
VM 847,3,4011,160
VM 848,1,1764,419
VM 849,1,1877,196
VM 850,3,1200,85
VM 851,2,4973,375
VM 852,1,4817,396
VM 853,4,115,186
VM 854,1,2745,279
VM 855,1,100,195
VM 856,1,4561,393
VM 857,3,2850,413
VM 858,1,2782,139
VM 859,3,4784,74
VM 860,2,4103,241
VM 861,1,3800,102
VM 862,1,1789,466
VM 863,1,1204,121
VM 864,4,4906,190
VM 865,4,864,181
VM 866,3,4138,377
VM 867,3,3178,419
VM 868,2,2723,279
VM 869,1,1878,183
VM 870,4,1225,77
VM 871,2,4736,271
VM 872,4,3102,121
VM 873,1,3129,354
VM 874,1,1953,121
VM 875,4,818,411
VM 876,2,1256,292
VM 877,4,3016,71
VM 878,1,2095,159
VM 879,1,872,189
VM 880,1,2635,493
VM 881,1,2469,135
VM 882,4,4885,242
VM 883,1,4649,364
VM 884,4,1927,38
VM 885,1,3946,471
VM 886,1,3402,46
VM 887,1,2291,57
VM 888,1,4450,428
VM 889,3,2206,236
VM 890,4,832,143
VM 891,4,2039,48
VM 892,4,4977,359
VM 893,1,2509,252
VM 894,1,2555,472
VM 895,1,3766,450
VM 896,3,4971,452
VM 897,3,404,118
VM 898,1,4262,157
VM 899,1,100,412
VM 900,3,4938,278
VM 901,1,1929,236
VM 902,1,2824,10
VM 903,2,3321,331
VM 904,1,4267,438
VM 905,4,3773,413
VM 906,4,1572,350
VM 907,4,4002,116
VM 908,3,1338,447
VM 909,4,4732,37
VM 910,2,3900,119
VM 911,2,2372,350
VM 912,2,1991,64
VM 913,3,2776,202
VM 914,2,3667,297
VM 915,4,1493,250
VM 916,1,4600,451
VM 917,2,979,495
VM 918,1,2861,215
VM 919,3,3572,84
VM 920,2,4975,119
VM 921,2,723,494
VM 922,4,1214,67
VM 923,1,2821,192
VM 924,2,4126,99
VM 925,1,1744,313
VM 926,2,4137,275
VM 927,1,1350,51
VM 928,1,1634,80
VM 929,1,910,352
VM 930,4,4268,245
VM 931,1,1813,237
VM 932,3,1851,425
VM 933,1,4977,179
VM 934,1,3281,147
VM 935,1,1366,390
VM 936,3,4543,22
VM 937,2,2073,229
VM 938,3,4216,465
VM 939,1,882,220
VM 940,4,768,304
VM 941,2,2198,262
VM 942,3,639,333
VM 943,1,1367,260
VM 944,1,3849,49
VM 945,4,3732,248
VM 946,4,2244,52
VM 947,4,1094,492
VM 948,2,4186,152
VM 949,1,673,84
VM 950,3,2226,155
VM 951,1,2179,135
VM 952,2,378,56
VM 953,1,4187,209
VM 954,1,4772,469
VM 955,4,4070,226
VM 956,2,2730,354
VM 957,1,2002,419
VM 958,1,1394,334
VM 959,2,3802,283
VM 960,1,3598,254
VM 961,3,224,312
VM 962,1,2557,436
VM 963,1,3837,167
VM 964,4,2355,161
VM 965,3,4267,473
VM 966,2,1106,132
VM 967,3,2851,343
VM 968,1,806,30
VM 969,3,3830,146
VM 970,1,1414,169
VM 971,4,2985,64
VM 972,4,2878,420
VM 973,1,1187,242
VM 974,4,2908,337
VM 975,1,3825,65
VM 976,4,193,303
VM 977,1,2440,169
VM 978,3,3756,338
VM 979,3,3716,120
VM 980,4,2781,153
VM 981,1,2922,52
VM 982,1,4895,10
VM 983,2,2918,356
VM 984,2,1654,224
VM 985,1,531,472
VM 986,1,1397,466
VM 987,1,675,467
VM 988,4,2325,91
VM 989,2,4458,435
VM 990,4,2277,461
VM 991,1,4369,454
VM 992,4,498,116
VM 993,4,1591,320
VM 994,1,1323,98
VM 995,2,3625,261
VM 996,1,3197,422
VM 997,4,3733,84
VM 998,1,344,268
VM 999,2,578,123
VM 1000,1,432,239
